"Reward Points","نقاط الولاء"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Rule Information","Rule Information"
"Earning Point Action","Earning Point Action"
Action,Action
"select the type to earn points","select the type to earn points"
"Points (X)","Points (X)"
"Money Step (Y)","Money Step (Y)"
"Maximum Earning Points","Maximum Earning Points"
"Set the maximum number spending points.If empty or zero, there is no limitation.","Set the maximum number spending points.If empty or zero, there is no limitation."
"Stop further rules processing","Stop further rules processing"
Actions,Actions
"Catalog Earning Rules","Catalog Earning Rules"
"Add New Rule","Add New Rule"
"Apply Rules","Apply Rules"
"Shopping Cart Earning Rules","Shopping Cart Earning Rules"
"Quantity Step (Y)","Quantity Step (Y)"
"Maximum Earning Points By This Rule","Maximum Earning Points By This Rule"
"Apply to shipping","Apply to shipping"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Apply the rule only to cart items matching the following conditions (leave blank for all items)."
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
Conditions,Conditions
"Rule name","Rule name"
Description,Description
Status,Status
Inactive,Inactive
Active,Active
Website,Website
"Customer Group(s)","Customer Group(s)"
From,From
To,To
Priority,Priority
"Shopping Cart Spending Rules","Shopping Cart Spending Rules"
"Update prices using the following information","Update prices using the following information"
"Discount Amount","Discount Amount"
"Discount received for every X points in tab Conditions","Discount received for every X points in tab Conditions"
"Spending Point Action","Spending Point Action"
"select the type to spend points","select the type to spend points"
"Maximum Redeemable Points","Maximum Redeemable Points"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Store View Specific Labels","Store View Specific Labels"
Labels,Labels
"Reward Points","Reward Points"
"This rule no longer exists.","This rule no longer exists."
"The rule has been deleted.","The rule has been deleted."
"Something went wrong while delete the rule data.","Something went wrong while delete the rule data."
"The wrong rule is specified.","The wrong rule is specified."
"Please fill discount amount equals or less than 100","Please fill discount amount equals or less than 100"
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data.","Something went wrong while saving the rule data."
"We can't apply the rules.","We can't apply the rules."
"Catalog Rule","Catalog Rule"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update catalog earning rule.","We found updated rules that are not applied. Please click ""Apply Rules"" to update catalog earning rule."
"Shopping Cart Earning Rule","Shopping Cart Earning Rule"
"Shopping Cart Spending Rule","Shopping Cart Spending Rule"
"%1 must be greater or equal zero.","%1 must be greater or equal zero."
"Invalid date","Invalid date"
"The module is disabled","The module is disabled"
"No such entity id!","No such entity id!"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Error reindex : %1","Error reindex : %1"
"Updated rules applied.","Updated rules applied."
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"No such rule id!","No such rule id!"
"Give fixed X points to Customers","Give fixed X points to Customers"
"Give X points for every Y amount of Price","Give X points for every Y amount of Price"
"Give X points for every Y amount of Profit","Give X points for every Y amount of Profit"
"Give fixed X points for whole cart","Give fixed X points for whole cart"
"Give X points for every Y amount of Quantity","Give X points for every Y amount of Quantity"
"Give a fixed discount amount for the whole cart","Give a fixed discount amount for the whole cart"
"Give a percent discount amount for the whole cart","Give a percent discount amount for the whole cart"
"Give discount for fixed X points","Give discount for fixed X points"
"Give discount for every X points","Give discount for every X points"
"Shopping cart earning","Shopping cart earning"
"Shopping cart spending","Shopping cart spending"
"Earn from %1","Earn from %1"
"Earn %1","Earn %1"
"Earning %1 for this item","Earning %1 for this item"
"Earning from %1 for this item","Earning from %1 for this item"
"Applies only to registered customers, may vary when logged in.","Applies only to registered customers, may vary when logged in."
Earning,Earning
"Earning Rate","Earning Rate"
"Catalog Rules","Catalog Rules"
"Shopping Cart Rules","Shopping Cart Rules"
Spending,Spending
"Spending Rate","Spending Rate"
"Show On Product Pages","Show On Product Pages"
"Show On Categories Pages","Show On Categories Pages"
"Show Highlight For Guests","Show Highlight For Guests"
"Mageplaza Reward Catalog Rule","Mageplaza Reward Catalog Rule"
"Mageplaza Reward Product Rule","Mageplaza Reward Product Rule"
"Mageplaza Reward Indexed product/rule association","Mageplaza Reward Indexed product/rule association"
ID,ID
Name,Name
"Web Site(s)","Web Site(s)"
"Created On","Created On"
Expired,Expired
