"Reward Points","نقاط الولاء"
"Save and Continue Edit","Save and Continue Edit"
"Behavior Information","Behavior Information"
"Behavior Action","Behavior Action"
Actions,Actions
"Fixed amount","Fixed amount"
"Maximum Earning Points","Maximum Earning Points"
"Set the maximum number of spending points. If empty or zero, there is no limitation","Set the maximum number of spending points. If empty or zero, there is no limitation"
"Max point earn period","Max point earn period"
Conditions,Conditions
"Customer Action or Event","Customer Action or Event"
"Minimum number of words in the review","Minimum number of words in the review"
"Minimum number of non-login days","Minimum number of non-login days"
"App Id","App Id"
"Create app id <a href=""https://developers.facebook.com"" target=""_blank"">here</a>. ","Create app id <a href=""https://developers.facebook.com"" target=""_blank"">here</a>. "
"Only those who purchased product can earn points","Only those who purchased product can earn points"
Yes,Yes
No,No
"Enable email sent to Customers for their birthdays","Enable email sent to Customers for their birthdays"
"Recurring Time Period","Recurring Time Period"
Sender,Sender
"Email template sent to customers for their birthdays","Email template sent to customers for their birthdays"
"Minimum interval between Likes","Minimum interval between Likes"
"(seconds). This is the minimum interval between 2 repeated interactions made by customers to get rewards","(seconds). This is the minimum interval between 2 repeated interactions made by customers to get rewards"
"Customer Behavior Rules","Customer Behavior Rules"
"Add New Rule","Add New Rule"
"Milestone Tier Benefit","Milestone Tier Benefit"
"Increase Earning Points","Increase Earning Points"
"Apply for Earning Rate, Catalog Rules and Shopping Cart Rules","Apply for Earning Rate, Catalog Rules and Shopping Cart Rules"
"Fixed Points","Fixed Points"
"Apply for Behavior Rules","Apply for Behavior Rules"
"Decrease Spending Points","Decrease Spending Points"
Benefit,Benefit
ID,ID
"First Name","First Name"
"Last Name","Last Name"
Email,Email
Group,Group
Gender,Gender
Customer,Customer
General,General
"Tier Name","Tier Name"
Status,Status
Image,Image
"The appropriate size is 265px * 250px.","The appropriate size is 265px * 250px."
"Customer Group(s)","Customer Group(s)"
Website,Website
"Min Points Value","Min Points Value"
"Number of Orders","Number of Orders"
Description,Description
"Milestone Tier Information","Milestone Tier Information"
"Refer Information","Refer Information"
"Customer Action","Customer Action"
Action,Action
"Points (X)","Points (X)"
"Money Step (Y)","Money Step (Y)"
Discount,Discount
"Apply to shipping","Apply to shipping"
"Stop further rules processing","Stop further rules processing"
"Referral's Action","Referral's Action"
"Referral's action type","Referral's action type"
"Referral's points (X)","Referral's points (X)"
"Referral's Money Step (Y)","Referral's Money Step (Y)"
"Referral Group(s)","Referral Group(s)"
"Invitation History","Invitation History"
"Refer Friends Rules","Refer Friends Rules"
"Delete Image","Delete Image"
"Spending/Earning Ratio","Spending/Earning Ratio"
"Earnings Distribution","Earnings Distribution"
"You will receive %1 for every %2 amount of price purchasing made by your friends.","You will receive %1 for every %2 amount of price purchasing made by your friends."
"You will receive %1 purchasing made by your friends.","You will receive %1 purchasing made by your friends."
"Your friends will be received %1 when purchasing at our store.","Your friends will be received %1 when purchasing at our store."
"Your friends will receive %1 for every %2 currency unit(s) when purchasing at our store","Your friends will receive %1 for every %2 currency unit(s) when purchasing at our store"
"Your friends will receive %1 currency unit(s) when purchasing at our store","Your friends will receive %1 currency unit(s) when purchasing at our store"
"Your friends will receive %1 percent discount on the order total when purchasing at our store","Your friends will receive %1 percent discount on the order total when purchasing at our store"
"This rule no longer exists.","This rule no longer exists."
"The rule has been deleted.","The rule has been deleted."
"Something went wrong while deleting the rule data.","Something went wrong while deleting the rule data."
"New Behavior Rule","New Behavior Rule"
"The wrong rule is specified.","The wrong rule is specified."
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data.","Something went wrong while saving the rule data."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The Milestone Tier has been deleted.","The Milestone Tier has been deleted."
"The Milestone Tier to delete was not found.","The Milestone Tier to delete was not found."
"Manage Milestone Tier","Manage Milestone Tier"
"Edit ""%1""","Edit ""%1"""
"New Milestone Tier","New Milestone Tier"
Milestones,Milestones
"Milestone Tiers has been deleted.","Milestone Tiers has been deleted."
"Something wrong when delete Milestone Tier.","Something wrong when delete Milestone Tier."
"Something went wrong while updating status for %1.","Something went wrong while updating status for %1."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Already a Milestone Tier with the same parameters you enter.","Already a Milestone Tier with the same parameters you enter."
"The Milestone Tier has been saved.","The Milestone Tier has been saved."
"Something went wrong while saving the Milestone Tier.","Something went wrong while saving the Milestone Tier."
"Something went wrong while delete the rule data.","Something went wrong while delete the rule data."
"New Refer Rule","New Refer Rule"
Earned,Earned
Spent,Spent
"My Milestone","نقاطي المهمة"
"REFERRAL PROGRAM","REFERRAL PROGRAM"
"Please fill in the invitation field!","Please fill in the invitation field!"
"An invitation to your friends has been sent successfully!","An invitation to your friends has been sent successfully!"
"Please log in to earn points for this action!","Please log in to earn points for this action!"
"Something went wrong while processing this action","Something went wrong while processing this action"
"You've already liked this page.","You've already liked this page."
"You've earned %1 for liking this page!","You've earned %1 for liking this page!"
"You have to wait at least %1 seconds for the next action!","You have to wait at least %1 seconds for the next action!"
"You've already shared this product.","You've already shared this product."
"You've earned %1 for sharing the product","You've earned %1 for sharing the product"
"Unlike this page successfully!","Unlike this page successfully!"
"You've already tweeted this page.","You've already tweeted this page."
"You've earned %1 for tweeting!","You've earned %1 for tweeting!"
"Earn %1 for subscribing to newsletter","Earn %1 for subscribing to newsletter"
"Earn %1 for writing a review for this product","اكسب %1 بعد كتابة مراجعة لهذا المنتج"
"Earn %1 for registering an account"," اكسب  %1 بعد تسجيل الحساب"
"Earn %1 on your birthday","Earn %1 on your birthday"
Tweet,Tweet
Admin,Admin
"Purchase Order","Purchase Order"
"Sign Up","Sign Up"
Newsletter,Newsletter
"Review Product","Review Product"
Birthday,Birthday
"Like Facebook","Like Facebook"
"Share Facebook","Share Facebook"
Twitter,Twitter
"Referral Earn","Referral Earn"
"Customer birthday","Customer birthday"
"Earn point(s) for customer birthday","Earn point(s) for customer birthday"
"Customer comeback","Customer comeback"
"Earn point(s) for customer comeback","Earn point(s) for customer comeback"
"Earn point(s) for liking a Facebook page","Earn point(s) for liking a Facebook page"
"Newsletter Subscriber","Newsletter Subscriber"
"Earn points for newsletter subscriber","Earn points for newsletter subscriber"
"Review product","Review product"
