"Choose an Option...", "Wählen Sie eine Option..."
"Adjustment Refund", "Anpassung Rückerstattung"
"Adjustment Fee", "Anpassung Gebühr"
"Subtotal", "Zwischensumme"
"Shipping & Handling", "Versand - &amp; Verpackungskosten"
"Discount (%1)", "Rabatt (%1)"
"Discount", "Rabatt"
"Grand Total", "Grand Insgesamt"
"Grand Total to be Charged", "Gesamtsumme Berechnet werden"
"You added product %1 to the comparison list.", "Sie Hinzugefügt, Produkt %1 zum Vergleich Liste."
"Customer you are requesting does not exist.", "Kunden, die Sie anfordern nicht vorhanden."
"Invalid Request", "Ungültige Anforderung"
"Cannot specify product.", "Können geben Sie Produkt."
"Customer you are requesting does not exist, so you need to logout.", "Kunden, die Sie anfordern nicht vorhanden, so müssen Sie sich ausloggen."
"Sorry, something went wrong.", "Sorry, ging etwas schief."
"Invalid Website Id", "Invalid Website Id"
"Featured Products", "Empfohlene Produkte"
"New Products", "Neue Produkte"
"Hot Deals", "Hot Deals"
"Invalid product.", "Ungültige Produkt."
"N/A", "N/A"
"No", "Keine"
"Review by %1", "Kundenmeinung von %1"
"(Posted on %1)", "(Geschrieben am %1)"
"sample", "Beispiel"
"Buy %1 for %2 each and <strong class="benefit">save<span class="percent tier-%3">&nbsp;%4</span>%</strong>", "Kaufen Sie %1 für %2 jedes und <strong class="benefit">save<span class="percent" tier-%3=""> %4</span>%</strong>"
"In stock", "Auf Lager"
"Out of stock", "Out of stock"
"The link to a friend was sent.", "Den link einem Freund geschickt wurde."
"We found some problems with the data.", "Wir fanden einige Probleme mit den Daten."
"Some emails were not sent.", "Einige E-Mails wurden nicht gesendet."
"You removed product %1 from the comparison list.", "Sie entfernt, Produkt %1 von der Liste Vergleich."
"Customer does Not Exists", "Kunde Existiert Nicht"
"Invalid Product Id", "Ungültige Produkt-Id"
"A letter with further instructions will be sent to your email.", "Ein Brief mit weiteren Anweisungen wird an Ihre E-Mail."
"Unable to add product to cart.", "Nicht in der Lage, Produkt in den Warenkorb."
"You added %1 to your shopping cart.", "Sie Hinzugefügt, %1 zu Ihrem Warenkorb."
"but, We don't have some of the products you want.", "aber, Wir haben nicht einige der Produkte, die Sie wollen."
"but, We don't have as many of some products as you want.", "aber, Wir haben nicht so viele von Produkten, wie Sie wollen."
"Can't add the item to shopping cart.", "Kann nicht fügen Sie den Artikel in den Warenkorb."
"The requested quantity of %1 is not available", "Die angeforderte Menge von %1 ist nicht verfügbar"
"The requested quantity is not available", "Die angeforderte Menge nicht verfügbar ist"
"We found an invalid request for adding product to quote.", "We found an invalid request for adding product to quote."
