"Choose an Option...", "Elija una Opción..."
"Adjustment Refund", "Ajuste De Reembolso"
"Adjustment Fee", "Cuota De Ajuste"
"Subtotal", "Subtotal"
"Shipping & Handling", "Gastos De Envío Y Manipulación"
"Discount (%1)", "De descuento (%1)"
"Discount", "Descuento"
"Grand Total", "Total"
"Available","disponible"
"available","disponible"
"Grand Total to be Charged", "Gran Total para ser Cargada"
"You added product %1 to the comparison list.", "Agregó producto %1 a la lista de comparación."
"Customer you are requesting does not exist.", "El cliente solicita no existe."
"Invalid Request", "Solicitud No Válida"
"Cannot specify product.", "Puede especificar el producto."
"Customer you are requesting does not exist, so you need to logout.", "El cliente solicita no existe, por lo que necesita para cerrar la sesión."
"Sorry, something went wrong.", "Lo siento, algo salió mal."
"Invalid Website Id", "No Válido De Identificación De Sitio Web"
"Featured Products", "Productos Destacados"
"New Products", "Nuevos Productos"
"Hot Deals", "Ofertas"
"Invalid product.", "De producto no válida."
"N/A", "N/A"
"No", "No"
"Review by %1", "Revisión por %1"
"(Posted on %1)", "(Publicado en %1)"
"sample", "la muestra"
"Buy %1 for %2 each and <strong class="benefit">save<span class="percent tier-%3">&nbsp;%4</span>%</strong>", "Comprar %1% 2 cada uno y <strong class="benefit">guardar<span class="percent" tier-%3=""> %4</span>%</strong>"
"In stock", "En stock"
"Out of stock", "Fuera de stock"
"The link to a friend was sent.", "El enlace a un amigo que fue enviado."
"We found some problems with the data.", "Hemos encontrado algunos problemas con los datos."
"Some emails were not sent.", "Algunos correos electrónicos no fueron enviados."
"You removed product %1 from the comparison list.", "Quitó producto %1 de la lista de comparación."
"Customer does Not Exists", "El cliente No Existe"
"Invalid Product Id", "Id De Producto No Válida"
"A letter with further instructions will be sent to your email.", "Una carta con más instrucciones, será enviado a su correo electrónico."
"Unable to add product to cart.", "No se puede agregar el producto a la cesta."
"You added %1 to your shopping cart.", "Agregó %1 a su carrito de compras."
"but, We don't have some of the products you want.", "pero, no Tenemos algunos de los productos que desea."
"but, We don't have as many of some products as you want.", "pero, no Tenemos como muchos de algunos productos como desee."
"Can't add the item to shopping cart.", "No se puede añadir el artículo al carrito de compras."
"The requested quantity of %1 is not available", "La cantidad solicitada de %1 no está disponible"
"The requested quantity is not available", "La cantidad solicitada no está disponible"
"We found an invalid request for adding product to quote.", "Hemos encontrado una solicitud no válida para añadir el producto a la cita."
"You used coupon code "%1".", "Utiliza el código de cupón %1."
"The coupon code "%1" is not valid.", "El código de cupón %1 no es válido."
"You canceled the coupon code.", "Se ha cancelado el código de cupón."
"Sorry Something went wrong !!", "Lo siento, Algo salió mal !!"
"Guest Checkout is not Enabled", "Invitado no está Habilitado"
