"Choose an Option...", "Choisissez une Option..."
"Adjustment Refund", "Réglage De Remboursement"
"Adjustment Fee", "Ajustement Des Frais De"
"Subtotal", "Sous-total"
"Shipping & Handling", "Expédition Et Manutention"
"Discount (%1)", "D'escompte (%1)"
"Discount", "Discount"
"Grand Total", "Grand Total"
"Grand Total to be Charged", "Grand Total sera Facturé"
"You added product %1 to the comparison list.", "Vous avez ajouté un produit %1 à la liste de comparaison."
"Customer you are requesting does not exist.", "Client que vous demandez n'existe pas."
"Invalid Request", "Demande Non Valide"
"Cannot specify product.", "Impossible de spécifier le produit."
"Customer you are requesting does not exist, so you need to logout.", "Client que vous demandez n'existe pas, si vous avez besoin de vous déconnecter."
"Sorry, something went wrong.", "Désolé, quelque chose s'est mal passé."
"Invalid Website Id", "Invalide Site Id"
"Featured Products", "Produits En Vedette"
"New Products", "De Nouveaux Produits"
"Hot Deals", "Hot Deals"
"Invalid product.", "Produit non valide."
"N/A", "N/A"
"Available","disponible"
"available","disponible"
"No", "Pas de"
"Review by %1", "Examen par %1"
"(Posted on %1)", "(Publié sur %1)"
"sample", "exemple"
"Buy %1 for %2 each and <strong class="benefit">save<span class="percent tier-%3">&nbsp;%4</span>%</strong>", "Acheter %1 %2 chaque et <strong class="benefit">sauver<span class="percent" tier-%3=""> %4</span>%</strong>"
"In stock", "En stock"
"Out of stock", "En rupture de stock"
"The link to a friend was sent.", "Le lien à un ami a été envoyé."
"We found some problems with the data.", "Nous avons constaté quelques problèmes avec les données."
"Some emails were not sent.", "Certains e-mails n'ont pas été envoyés."
"You removed product %1 from the comparison list.", "Vous avez retiré de produit %1 à partir de la liste de comparaison."
"Customer does Not Exists", "Le client n'Existe Pas"
"Invalid Product Id", "Produit Non Valide Id"
"A letter with further instructions will be sent to your email.", "Une lettre avec des instructions complémentaires seront envoyés à votre adresse email."
"Unable to add product to cart.", "Impossible d'ajouter le produit au panier."
"You added %1 to your shopping cart.", "Vous avez ajouté %de 1 à votre panier."
"but, We don't have some of the products you want.", "mais, Nous n'avons pas de certains des produits que vous souhaitez."
"but, We don't have as many of some products as you want.", "mais, Nous n'avons pas autant de certains produits que vous le souhaitez."
"Can't add the item to shopping cart.", "Ne pouvez pas ajouter l'article au panier."
"The requested quantity of %1 is not available", "La quantité demandée de %1 n'est pas disponible"
"The requested quantity is not available", "La quantité demandée n'est pas disponible"
"We found an invalid request for adding product to quote.", "Nous avons constaté une demande non valide pour l'ajout de produit de citer."
"You used coupon code "%1".", "Vous avez utilisé un code de coupon %1."
"The coupon code "%1" is not valid.", "Le code de coupon %1 n'est pas valide."
