"Choose an Option...", "选择..."
"Adjustment Refund", "调整的退款"
"Adjustment Fee", "调整费用"
"Subtotal", "小计"
"Shipping & Handling", "运费和手续"
"Discount (%1)", "折扣(%1)"
"Discount", "折扣"
"Grand Total", "总计"
"Grand Total to be Charged", "总要收费"
"You added product %1 to the comparison list.", "你加入的产品%1的比较清单。"
"Customer you are requesting does not exist.", "客户的要求不存在。"
"Invalid Request", "无效的请求"
"Cannot specify product.", "不能指定的产品。"
"Customer you are requesting does not exist, so you need to logout.", "客户的要求不存在，因此需要注销。"
"Sorry, something went wrong.", "抱歉，事情出了错。"
"Invalid Website Id", "无效的网站Id"
"Featured Products", "特色产品"
"New Products", "新产品"
"Hot Deals", "热卖"
"Invalid product.", "无效的产品。"
"N/A", "N/A"
"No", "没有"
"Review by %1", "审查%1"
"(Posted on %1)", "(张贴在％的1)"
"sample", "样本"
"Buy %1 for %2 each and <strong class="benefit">save<span class="percent tier-%3">&nbsp;%4</span>%</strong>", "买%的1%2每和 <strong class="benefit">保存<span class="percent" tier-%3=""> %的4</span>%</strong>"
"In stock", "在股票"
"Out of stock", "股票"
"The link to a friend was sent.", "链接到一位朋友送的。"
"We found some problems with the data.", "我们发现了一些问题的数据。"
"Some emails were not sent.", "一些电子邮件都是不能发送。"
"You removed product %1 from the comparison list.", "你删除的产品%1的比较清单。"
"Customer does Not Exists", "客户并不存在"
"Invalid Product Id", "无效的产品Id"
"A letter with further instructions will be sent to your email.", "信中进一步说明将发送到你的电子邮件。"
"Unable to add product to cart.", "无法增加的产品的购物车。"
"You added %1 to your shopping cart.", "你加入%1你的购物车。"
"but, We don't have some of the products you want.", "但是，我们没有一些你想要的产品。"
"but, We don't have as many of some products as you want.", "但是，我们没有很多的一些产品，只要你想。"
"Can't add the item to shopping cart.", "不能添加该项目的购物车。"
"The requested quantity of %1 is not available", "所请求的数量%1是不是可以"
"The requested quantity is not available", "所请求的数量是不可用的"
"We found an invalid request for adding product to quote.", "我们发现一个无效的请求添加的产品的报价。"
"You used coupon code "%1".", "你用优惠码%1."
"The coupon code "%1" is not valid.", "优惠码%1是无效的。"
"You canceled the coupon code.", "你取消了优惠券的代码。"
"Sorry Something went wrong !!", "抱歉出事了!!"
"Guest Checkout is not Enabled", "客户结账没有启用"
"You must confirm your account. Please check your email for the confirmation link.", "你必须确认你的帐户。 请检查你的电子邮件确认的链接。"
"Available","可得到"
"available","可得到"
"Customer Address is not valid.", "客户的地址不是有效的。"
"Invalid email format", "无效的电子邮件的格式"
"This email already exist.", "这个电子邮件已经存在。"
"Invalid Billing Data", "无效票数据"
"Invalid shipping method.", "无效的运输方法。"
"You will be redirected to the PayPal website.", "你将被重新定向到贝宝的网站。"
"Make Check payable to:", "做检查支付给："
"Send Check to:", "送检查："
"xxxxxxx", "欲"
"Bank Details are xxxxxxx", "银行细节欲"
"Pay at the time of delivery", "支付时的交付"
"Invalid Quote Id", "无效的报价的Id"
"Invalid Shipping data.", "无效的运输数据。"
"Cart updated successfully", "车成功更新"
"We can't find the quote item.", "我们找不到的报价项目。"
"The requested quantity of", "所请求的数量"
"is not available", "是不是可以"
"%1 was updated in your shopping cart.", "%1更新你的购物车。"
"We can't update the item right now.", "我们不能更新项目现在。"
"As customer you are requesting does not exist, so you need to logout.", "如客户的要求不存在，因此需要注销。"
"Item has been moved to Wishlist", "项目已移动到的心愿"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.", "感谢您与我们联系你的意见和问题。 我们会回复的很快。"
"We can't process your request right now. Sorry, that's all we know.", "我们不能处理你的请求现在。 对不起，这是我们所知道的。"
"You have no default billing address in your address book.", "你有没有默认帐单的地址是在你的地址簿。"
