"Clear cache", "مسح ذاكرة التخزين المؤقت"
"Back", "مرة أخرى"
"Delete Bannner", "حذف Bannner"
"Save Banner", "حفظ راية"
"Delete Carousel", "حذف دائري"
"Save Carousel", "حفظ دائري"
"ID", "معرف"
"Thumbnail", "الصور المصغرة"
"Title", "العنوان"
"Status", "حالة"
"Enabled", "تمكين"
"Disabled", "تعطيل"
"Select", "حدد"
"Product Name", "اسم المنتج"
"Product Type", "نوع المنتج"
"Visibility", "الرؤية"
"Quantity", "الكمية"
"Delete Image", "حذف صورة"
"Save Image", "حفظ الصورة"
"Delete Category Image", "حذف فئة الصورة"
"Save Category Image", "حفظ فئة الصورة"
"Delete Featured Category", "حذف الفئة المميزة"
"Save Featured Category", "حفظ الفئة المميزة"
"Delete Notification", "بمجرد الإخطار"
"Push Notification", "إعلام دفع"
"Save Notification", "حفظ الاشعار"
"Reset", "إعادة تعيين"
"Save and Continue Edit", "حفظ ومتابعة تحرير"
"Name", "اسم"
"Name in %1", "الاسم في %1"
"SKU", "الكود"
"Price", "السعر"
"Banner could not be deleted.", "لافتة لا يمكن حذفها."
"Banner has been deleted.", "لافتة قد تم حذفه."
"Requested banner doesn't exist", "طلب راية لا وجود لها"
"Something went wrong while editing the banner.", "حدث خطأ أثناء تحرير راية."
"Edit Item with id %1", "تعديل البند مع معرف %1"
"New Banner", "جديدة لافتة ، "
"Banner Image", "صورة لافتة"
"Manage Banner", "إدارة الصور راية"
"A total of %1 record(s) were deleted.", "مجموع من %1 سجل(s) تم حذفها."
"A total of %1 record(s) were disabled.", "مجموع من %1 سجل(s) تم تعطيلها."
"A total of %1 record(s) were enabled.", "مجموع من %1 سجل(s) تمكين."
"You saved the banner.", "أنقذت راية."
"Something went wrong while saving the banner. %1", "حدث خطأ أثناء حفظ راية. %1"
"Please upload banner image.", "يرجى تحميل صورة الشعار."
"File can not be saved to the destination folder.", "الملف لا يمكن حفظها إلى مجلد الوجهة."
"Sort order should be a number.", "ترتيب الفرز يجب أن يكون عددا."
"Sort order field can not be blank.", "ترتيب الحقل لا يمكن أن تكون فارغة."
"Requested product doesn't exist", "المنتج المطلوب غير موجود"
"Requested category doesn't exist", "الفئة المطلوبة غير موجودة"
"Banner type or id should be set.", "لافتة نوع أو معرف."
"Carousel could not be deleted.", "دائري لا يمكن حذفها."
"Carousel has been deleted.", "دائري قد تم حذفه."
"Requested carousel doesn't exist", "طلب دائري لا وجود لها"
"Something went wrong while editing the carousel.", "حدث خطأ أثناء تحرير دائري."
"New Carousel", "جديد دائري"
"Manage Carousel", "إدارة دائري"
"You saved the carousel.", "أنقذت دائري."
"Something went wrong while saving the carousel. %1", "حدث خطأ أثناء حفظ دائري. %1"
"Title can not be blank.", "العنوان لا يمكن أن تكون فارغة."
"Please select atleast one image.", "حدد على الأقل صورة واحدة."
"Please select atleast one product.", "الرجاء اختيار منتج واحد على الأقل."
"Carousel image could not be deleted.", "صورة دائري لا يمكن حذفها."
"Carousel image has been deleted.", "دائري صورة تم حذفها."
"Requested carousel image doesn't exist", "طلب دائري صورة لا وجود لها"
"Something went wrong while editing the carousel image.", "حدث خطأ أثناء تحرير دائري الصورة."
"New Carousel image", "جديد دائري صورة"
"Manage Carousel Images", "إدارة الصور دائري"
"You saved the carousel image.", "يمكنك حفظ صورة دائري."
"Something went wrong while saving the carousel image. %1", "حدث خطأ أثناء حفظ صورة دائري. %1"
