"Clear cache","Clear cache"
Back,Back
"Delete Bannner","Delete Bannner"
"Save Banner","Save Banner"
"Delete Carousel","Delete Carousel"
"Save Carousel","Save Carousel"
ID,ID
Thumbnail,Thumbnail
Title,Title
Status,Status
Enabled,Enabled
Disabled,Disabled
Select,Select
"Product Name","Product Name"
"Product Type","Product Type"
Visibility,Visibility
Quantity,Quantity
"Delete Image","Delete Image"
"Save Image","Save Image"
"Delete Category Image","Delete Category Image"
"Save Category Image","Save Category Image"
"Delete Featured Category","Delete Featured Category"
"Save Featured Category","Save Featured Category"
"Delete Notification","Delete Notification"
"Push Notification","Push Notification"
"Save Notification","Save Notification"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Name,Name
"Name in %1","Name in %1"
SKU,SKU
Price,Price
"Banner could not be deleted.","Banner could not be deleted."
"Banner has been deleted.","Banner has been deleted."
"Requested banner doesn't exist","Requested banner doesn't exist"
"Something went wrong while editing the banner.","Something went wrong while editing the banner."
"Edit Item with id %1","Edit Item with id %1"
"New Banner","New Banner"
"Banner Image","Banner Image"
"Manage Banner","Manage Banner"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"A total of %1 record(s) were disabled.","A total of %1 record(s) were disabled."
"A total of %1 record(s) were enabled.","A total of %1 record(s) were enabled."
"You saved the banner.","You saved the banner."
"Something went wrong while saving the banner. %1","Something went wrong while saving the banner. %1"
"Please upload banner image.","Please upload banner image."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Sort order should be a number.","Sort order should be a number."
"Sort order field can not be blank.","Sort order field can not be blank."
"Requested product doesn't exist","Requested product doesn't exist"
"Requested category doesn't exist","Requested category doesn't exist"
"Banner type or id should be set.","Banner type or id should be set."
"Carousel could not be deleted.","Carousel could not be deleted."
"Carousel has been deleted.","Carousel has been deleted."
"Requested carousel doesn't exist","Requested carousel doesn't exist"
"Something went wrong while editing the carousel.","Something went wrong while editing the carousel."
"New Carousel","New Carousel"
"Manage Carousel","Manage Carousel"
"You saved the carousel.","You saved the carousel."
"Something went wrong while saving the carousel. %1","Something went wrong while saving the carousel. %1"
"Title can not be blank.","Title can not be blank."
"Please select atleast one image.","Please select atleast one image."
"Please select atleast one product.","Please select atleast one product."
"Carousel image could not be deleted.","Carousel image could not be deleted."
"Carousel image has been deleted.","Carousel image has been deleted."
"Requested carousel image doesn't exist","Requested carousel image doesn't exist"
"Something went wrong while editing the carousel image.","Something went wrong while editing the carousel image."
"New Carousel image","New Carousel image"
"Manage Carousel Images","Manage Carousel Images"
"You saved the carousel image.","You saved the carousel image."
"Something went wrong while saving the carousel image. %1","Something went wrong while saving the carousel image. %1"
"Please upload carousel image.","Please upload carousel image."
"Carousel image type or id should be set.","Carousel image type or id should be set."
"Category image record could not be deleted.","Category image record could not be deleted."
"Category image record has been deleted.","Category image record has been deleted."
"Requested categoryimages doesn""t exist","Requested categoryimages doesn""t exist"
"Something went wrong while editing the category image.","Something went wrong while editing the category image."
"New Category Image","New Category Image"
"Category Image","Category Image"
"Manage Category's Banners and Icons","Manage Category's Banners and Icons"
"You saved the category image.","You saved the category image."
"Something went wrong while saving the category images. %1","Something went wrong while saving the category images. %1"
"Please upload category icon image.","Please upload category icon image."
"Please upload category banner image.","Please upload category banner image."
"Category id should be set.","Category id should be set."
"Cache cleared successfully","Cache cleared successfully"
"Featuredcategories could not be deleted.","Featuredcategories could not be deleted."
"Featuredcategories has been deleted.","Featuredcategories has been deleted."
"Requested featuredcategories doesn't exist","Requested featuredcategories doesn't exist"
"Something went wrong while editing the featuredcategories.","Something went wrong while editing the featuredcategories."
"New Featuredcategories","New Featuredcategories"
Featuredcategories,Featuredcategories
"Manage Featured Categories","Manage Featured Categories"
"A total of %1 Featuredcategory(ies) were deleted.","A total of %1 Featuredcategory(ies) were deleted."
"You saved the featured categories.","You saved the featured categories."
"Something went wrong while saving the featuredcategories. %1","Something went wrong while saving the featuredcategories. %1"
"Please upload featuredcategories image.","Please upload featuredcategories image."
