"Clear cache", "清除缓存"
"Back", "回"
"Delete Bannner", "删除Bannner"
"Save Banner", "保存的旗帜"
"Delete Carousel", "删除旋转木马"
"Save Carousel", "保存旋转木马"
"ID", "ID"
"Thumbnail", "缩略"
"Title", "标题"
"Status", "状态"
"Enabled", "启用"
"Disabled", "残疾人"
"Select", "选择"
"Product Name", "商品名称"
"Product Type", "产品类型"
"Visibility", "可见性"
"Quantity", "数量"
"Delete Image", "删除的图像"
"Save Image", "保存图像"
"Delete Category Image", "删除类别的图像"
"Save Category Image", "保存类别的图像"
"Delete Featured Category", "删除功能的类别"
"Save Featured Category", "保存功能的类别"
"Delete Notification", "删除通知"
"Push Notification", "推动通知"
"Save Notification", "保存通知"
"Reset", "重置"
"Save and Continue Edit", "保存和继续编辑"
"Name", "名称"
"Name in %1", "名%1"
"SKU", "SKU"
"Price", "价格"
"Banner could not be deleted.", "横幅广告不能被删除。"
"Banner has been deleted.", "横幅广告，已经删除。"
"Requested banner doesn't exist", "请横幅广告，不存在"
"Something went wrong while editing the banner.", "出现了错误，而编辑的旗帜。"
"Edit Item with id %1", "编辑项目与id%1"
"New Banner", "新的旗帜"
"Banner Image", "横幅图像"
"Manage Banner", "管理横幅图像"
"A total of %1 record(s) were deleted.", "总共%1record(s)已被删除。"
"A total of %1 record(s) were disabled.", "总共%1record(s)残疾人。"
"A total of %1 record(s) were enabled.", "总共%1record(s)启用。"
"You saved the banner.", "你保存的旗帜。"
"Something went wrong while saving the banner. %1", "东西去了错误的同时节省的旗帜。 %1"
"Please upload banner image.", "请上传横幅图像。"
"File can not be saved to the destination folder.", "文件不能被保存到目的文件夹。"
"Sort order should be a number.", "排列顺序应当是一个数字。"
"Sort order field can not be blank.", "排序场不能空白。"
"Requested product doesn't exist", "要求产品不存在"
"Requested category doesn't exist", "请求的类别并不存在"
"Banner type or id should be set.", "横幅广告的类型或身份证应当以设定。"
"Carousel could not be deleted.", "旋转木马能不被删除。"
"Carousel has been deleted.", "旋转木马已被删除。"
"Requested carousel doesn't exist", "请求的旋转木马并不存在"
"Something went wrong while editing the carousel.", "出现了错误，而编辑的旋转木马。"
"New Carousel", "新的旋转木马"
"Manage Carousel", "管理旋转木马"
"You saved the carousel.", "你救了旋转木马。"
"Something went wrong while saving the carousel. %1", "东西去了错误的同时节省的旋转木马。 %1"
"Title can not be blank.", "标题不能空白。"
"Please select atleast one image.", "请选择至少一个图像。"
"Please select atleast one product.", "请选择至少一个产品。"
"Carousel image could not be deleted.", "旋转木马的图像就不可能删除。"
"Carousel image has been deleted.", "旋转木马的图像已被删除。"
"Requested carousel image doesn't exist", "请求的旋转木马的形象并不存在"
"Something went wrong while editing the carousel image.", "出现了错误，而编辑的旋转木马的形象。"
"New Carousel image", "新的旋转木马的图像"
"Manage Carousel Images", "管理旋转木马的图像"
"You saved the carousel image.", "你救了旋转木马的图像。"
"Something went wrong while saving the carousel image. %1", "东西去了错误的同时节省的旋转木马的形象。 %1"
"Please upload carousel image.", "请上旋转木马的形象。"
"Carousel image type or id should be set.", "旋转木马的图像类型或身份证应当以设定。"
"Category image record could not be deleted.", "类别的图像记录可能不被删除。"
"Category image record has been deleted.", "类别的图像记录已经被删除。"
"Requested categoryimages doesn"t exist", "请categoryimages不存在"
"Something went wrong while editing the category image.", "出现了错误的同时，编辑这类图像。"
"New Category Image", "新类别的图像"
"Category Image", "类别的图像"
"Manage Category's Banners and Icons", "管理类别的横幅和图标"
"You saved the category image.", "你保存这类图像。"
"Something went wrong while saving the category images. %1", "东西去了错误的同时节省的分类图像。 %1"
"Please upload category icon image.", "请上传类别标的图像。"
"Please upload category banner image.", "请上传类别的横幅图像。"
"Category id should be set.", "类别id应该被设置。"
"Cache cleared successfully", "缓清除成功"
"Featuredcategories could not be deleted.", "Featuredcategories不能被删除。"
"Featuredcategories has been deleted.", "Featuredcategories已被删除。"
"Requested featuredcategories doesn't exist", "请featuredcategories不存在"
"Something went wrong while editing the featuredcategories.", "出现了错误，而编辑的featuredcategories的。"
"New Featuredcategories", "新Featuredcategories"
"Featuredcategories", "Featuredcategories"
"Manage Featured Categories", "管理功能的类别"
"A total of %1 Featuredcategory(ies) were deleted.", "总共%1Featuredcategory(ies)已被删除。"
"You saved the featured categories.", "你保存功能的类别。"
"Something went wrong while saving the featuredcategories. %1", "东西去了错误的同时节省的featuredcategories的。 %1"
"Please upload featuredcategories image.", "请上传featuredcategories图像。"
"Category not selected.", "类别无选择。"
"Notification could not be deleted.", "通知可能不被删除。"
"Notification has been deleted.", "通知已被删除。"
"Requested notification doesn't exist", "请求的通知并不存在"
"Something went wrong while editing the notification.", "出现了错误，而编辑的通知。"
"New Notification", "新的通知"
"Notification", "的通知"
"Yes", "是的"
"No", "没有"
